Symbol	Description	SubMitoLocalization	MitoPathways
CYC1	cytochrome c1	MIM	OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits
SDHB	succinate dehydrogenase complex iron sulfur subunit B	MIM	OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
COQ7	coenzyme Q7, hydroxylase	MIM	Metabolism > Metals and cofactors > Coenzyme Q metabolism
SDHA	succinate dehydrogenase complex flavoprotein subunit A	MIM	OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits
UQCRC1	ubiquinol-cytochrome c reductase core protein 1	MIM	Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
COQ5	coenzyme Q5, methyltransferase	MIM	Metabolism > Metals and cofactors > Coenzyme Q metabolism
PDHA1	pyruvate dehydrogenase E1 subunit alpha 1	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism
COQ9	coenzyme Q9	MIM	Metabolism > Metals and cofactors > Coenzyme Q metabolism
MRPL12	mitochondrial ribosomal protein L12	Matrix	Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome
ATP5F1D	ATP synthase F1 subunit delta	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
COX5A	cytochrome c oxidase subunit 5A	MIM	OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
ISCA2	iron-sulfur cluster assembly 2	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
PMPCB	peptidase, mitochondrial processing subunit beta	Matrix	Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases
UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	MIM	OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
ATP5F1A	ATP synthase F1 subunit alpha	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
OGDH	oxoglutarate dehydrogenase	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle
PDHB	pyruvate dehydrogenase E1 subunit beta	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism
UQCRC2	ubiquinol-cytochrome c reductase core protein 2	MIM	Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
SDHD	succinate dehydrogenase complex subunit D	MIM	OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits
MRPS35	mitochondrial ribosomal protein S35	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome
UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII	MIM	OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
MRPL53	mitochondrial ribosomal protein L53	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome
DBT	dihydrolipoamide branched chain transacylase E2	Matrix	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
PDK4	pyruvate dehydrogenase kinase 4	MIM	Metabolism > Carbohydrate metabolism > Pyruvate metabolism
MDH2	malate dehydrogenase 2	Matrix	Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle
MRPS27	mitochondrial ribosomal protein S27	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome
CS	citrate synthase	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle
GRPEL1	GrpE like 1, mitochondrial	Matrix	Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
DLAT	dihydrolipoamide S-acetyltransferase	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism
LRPPRC	leucine rich pentatricopeptide repeat containing	Matrix	Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation
DLST	dihydrolipoamide S-succinyltransferase	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism
PDHX	pyruvate dehydrogenase complex component X	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism
GFM1	G elongation factor mitochondrial 1	Matrix	Mitochondrial central dogma > Translation > Translation factors
MPC2	mitochondrial pyruvate carrier 2	MIM	Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport
