group_name	group_id	subgroup_name	subgroup_id	reactome_id	pathway_name	n_genes	neutrophil_total	monocyte_total
Autophagy	R-HSA-9612973	Autophagy	R-HSA-9612973	R-HSA-9612973	Autophagy	20.0000	1.9462	6.0464
Autophagy	R-HSA-9612973	Chaperone Mediated Autophagy	R-HSA-9613829	R-HSA-9613829	Chaperone Mediated Autophagy	1.0000	0.1187	0.6925
Autophagy	R-HSA-9612973	Late endosomal microautophagy	R-HSA-9615710	R-HSA-9615710	Late endosomal microautophagy	1.0000	0.1187	0.6925
Autophagy	R-HSA-9612973	Macroautophagy	R-HSA-1632852	R-HSA-1632852	Macroautophagy	20.0000	1.9462	6.0464
Autophagy	R-HSA-9612973	Macroautophagy	R-HSA-1632852	R-HSA-9663891	Selective autophagy	20.0000	1.9462	6.0464
Autophagy	R-HSA-9612973	Macroautophagy	R-HSA-1632852	R-HSA-5205647	Mitophagy	17.0000	1.4764	4.8517
Autophagy	R-HSA-9612973	Macroautophagy	R-HSA-1632852	R-HSA-5205685	PINK1-PRKN Mediated Mitophagy	15.0000	1.4653	4.7644
Autophagy	R-HSA-9612973	Macroautophagy	R-HSA-1632852	R-HSA-9646399	Aggrephagy	2.0000	0.1350	0.7518
Autophagy	R-HSA-9612973	Macroautophagy	R-HSA-1632852	R-HSA-8934903	Receptor Mediated Mitophagy	2.0000	0.0112	0.0873
Autophagy	R-HSA-9612973	Macroautophagy	R-HSA-1632852	R-HSA-9664873	Pexophagy	2.0000	0.3511	0.5022
Cell Cycle	R-HSA-1640170	Cell Cycle	R-HSA-1640170	R-HSA-1640170	Cell Cycle	4.0000	0.6438	0.9693
Cell Cycle	R-HSA-1640170	Cell Cycle Checkpoints	R-HSA-69620	R-HSA-69473	G2/M DNA damage checkpoint	2.0000	0.2307	0.3447
Cell Cycle	R-HSA-1640170	Cell Cycle Checkpoints	R-HSA-69620	R-HSA-69481	G2/M Checkpoints	2.0000	0.2307	0.3447
Cell Cycle	R-HSA-1640170	Cell Cycle Checkpoints	R-HSA-69620	R-HSA-69620	Cell Cycle Checkpoints	2.0000	0.2307	0.3447
Cell Cycle	R-HSA-1640170	Cell Cycle, Mitotic	R-HSA-69278	R-HSA-69278	Cell Cycle, Mitotic	2.0000	0.4324	0.6481
Cell Cycle	R-HSA-1640170	Cell Cycle, Mitotic	R-HSA-69278	R-HSA-453274	Mitotic G2-G2/M phases	1.0000	0.4109	0.6219
Cell Cycle	R-HSA-1640170	Cell Cycle, Mitotic	R-HSA-69278	R-HSA-69275	G2/M Transition	1.0000	0.4109	0.6219
Cell Cycle	R-HSA-1640170	Cell Cycle, Mitotic	R-HSA-69278	R-HSA-69242	S Phase	1.0000	0.0215	0.0262
Cell Cycle	R-HSA-1640170	Cell Cycle, Mitotic	R-HSA-69278	R-HSA-68886	M Phase	1.0000	0.4109	0.6219
Cell Cycle	R-HSA-1640170	Cell Cycle, Mitotic	R-HSA-69278	R-HSA-68877	Mitotic Prometaphase	1.0000	0.4109	0.6219
Cell Cycle	R-HSA-1640170	Cell Cycle, Mitotic	R-HSA-69278	R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition	1.0000	0.4109	0.6219
Cell Cycle	R-HSA-1640170	Cell Cycle, Mitotic	R-HSA-69278	R-HSA-8854518	AURKA Activation by TPX2	1.0000	0.4109	0.6219
Cell Cycle	R-HSA-1640170	Cell Cycle, Mitotic	R-HSA-69278	R-HSA-380320	Recruitment of NuMA to mitotic centrosomes	1.0000	0.4109	0.6219
Cell Cycle	R-HSA-1640170	Cell Cycle, Mitotic	R-HSA-69278	R-HSA-380259	Loss of Nlp from mitotic centrosomes	1.0000	0.4109	0.6219
Cell Cycle	R-HSA-1640170	Cell Cycle, Mitotic	R-HSA-69278	R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes	1.0000	0.4109	0.6219
Cell Cycle	R-HSA-1640170	Cell Cycle, Mitotic	R-HSA-69278	R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome	1.0000	0.4109	0.6219
Cell Cycle	R-HSA-1640170	Cell Cycle, Mitotic	R-HSA-69278	R-HSA-380287	Centrosome maturation	1.0000	0.4109	0.6219
Cell Cycle	R-HSA-1640170	Chromosome Maintenance	R-HSA-73886	R-HSA-73886	Chromosome Maintenance	2.0000	0.0237	0.0289
