GO	term	class	p	p_corr	n_genes	n_study	n_go	study_genes	per	class_label
GO:0006357	regulation of transcription by RNA polymerase II	biological_process	2.526851626689786e-76	2.5523728281193526e-72	62	4582	1348	['HAVCR2', 'ELOC', 'IRF2BP2', 'ATF6', 'DR1', 'SMARCA5', 'ARRB1', 'MAPK14', 'OGT', 'DDX17', 'SFRP5', 'RUVBL1', 'FSTL3', 'ZFHX4', 'TIAL1', 'RRP1B', 'CTCF', 'INHBA', 'SOD2', 'SUB1', 'ANKRD2', 'FUBP1', 'CAMK2D', 'PURA', 'PURB', 'SYK', 'PHB2', 'SMARCA2', 'PRKAR1A', 'PHF6', 'PSMC5', 'PRKCB', 'HMGB2', 'SMARCE1', 'ZFHX3', 'NTN1', 'CTBP1', 'PSMD10', 'ACTL6A', 'FUS', 'HMOX1', 'CREB3L3', 'CDC5L', 'TAF2', 'APP', 'CBFB', 'CREG1', 'RUVBL2', 'ATF6B', 'ATP2B4', 'MTDH', 'NOTCH1', 'KDM1A', 'STAT1', 'CRK', 'DDX5', 'RRP1', 'HDAC1', 'HNRNPK', 'STAT3', 'DHX9', 'VEGFA']	0.04599406528189911	Biological Process
GO:0006508	proteolysis	biological_process	1.1682528263874693e-32	5.900260899669914e-29	150	4582	277	['CLPP', 'ATG4A', 'LVRN', 'CPA4', 'CFH', 'PCSK2', 'TPP2', 'LGMN', 'TPSAB1', 'HGFAC', 'PRSS1', 'PRSS2', 'PRSS3', 'MBTPS1', 'MASP1', 'CTSF', 'TRABD2B', 'HTRA1', 'PRTN3', 'ZMPSTE24', 'ERAP1', 'ADAM23', 'ADAM15', 'CTSC', 'AZU1', 'MBL2', 'CELA2A', 'PSMB5', 'PEPD', 'CTRC', 'CTRB2', 'BACE1', 'PSMC4', 'ADAM11', 'F2', 'ACE', 'ADAM8', 'F5', 'PGC', 'F7', 'F8', 'F9', 'F10', 'ST14', 'F12', 'GGT1', 'FBXO2', 'GGT5', 'BLMH', 'NEDD8', 'BMP1', 'CFD', 'COLEC11', 'FAP', 'ATG4B', 'PROZ', 'ADAMDEC1', 'CPQ', 'WFDC2', 'ERAP2', 'FCN1', 'FCN2', 'TPP1', 'HPN', 'PIP', 'TMPRSS11D', 'CPNE1', 'ENDOU', 'C3', 'PLAT', 'PLAU', 'ADAM17', 'MME', 'MMP1', 'MMP2', 'MMP3', 'MMP7', 'MMP8', 'MMP9', 'PLG', 'MMP11', 'MMP14', 'KLKB1', 'CNDP1', 'TRHDE', 'NAPSA', 'PAPPA2', 'DPP4', 'TRABD2A', 'PRSS57', 'NRDC', 'ADAMTS4', 'PITRM1', 'ADAMTS2', 'ADAMTS1', 'HTRA2', 'FOLH1', 'NPEPPS', 'CAPN1', 'CAPN2', 'CASP3', 'APEH', 'CASP6', 'CPA1', 'CPA2', 'UBA3', 'CPA3', 'CPB1', 'CPB2', 'REN', 'ADAMTS13', 'ADAMTS8', 'CELA2B', 'DPP3', 'COLEC10', 'ADAMTS5', 'IDE', 'LCN1', 'HTRA4', 'XPNPEP1', 'KLK3', 'FCN3', 'CFI', 'CTSA', 'NPEPL1', 'ADAM12', 'LAP3', 'ADAM22', 'CELA3B', 'CELA3A', 'DPP9', 'RNPEP', 'LNPEP', 'PREP', 'CNDP2', 'ELANE', 'PAPPA', 'HABP2', 'CTSB', 'CTSD', 'CTSG', 'CTSH', 'CTSK', 'CTSL', 'CTSO', 'CTSS', 'CTSZ', 'PROC', 'MASP2', 'PCOLCE']	0.5415162454873647	Biological Process
GO:0002181	cytoplasmic translation	biological_process	5.150181658433594e-29	1.7340661643945912e-25	70	4582	92	['RPL10A', 'RPL21', 'RPL22', 'RPL23A', 'RPL23', 'RPL24', 'RPL27', 'RPL30', 'RPL27A', 'RPL28', 'RPL31', 'RPL32', 'RPL35A', 'RPL37A', 'RPL38', 'SARS1', 'RPLP0', 'RPLP1', 'RPS2', 'RPS3', 'RPS3A', 'ZC3H15', 'RPS4X', 'RPL18', 'RPS5', 'RPS6', 'RPS7', 'RPS8', 'RPS9', 'RPS10', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15', 'RPS15A', 'RPS16', 'RPS17', 'RPS18', 'RPS19', 'RPS20', 'RPSA', 'RPS21', 'RPS23', 'RPL14', 'RPS25', 'RPS26', 'RPL35', 'RPS27A', 'RPS28', 'RPS24', 'GTPBP1', 'RPL13A', 'RPL3', 'RPL4', 'RPL5', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPL10', 'RPL11', 'RPL12', 'RPL13', 'RPL15', 'RPL17', 'DRG1', 'RPL18A', 'RPL19']	0.7608695652173914	Biological Process
GO:0007155	cell adhesion	biological_process	1.9603657656809e-27	4.950413649785692e-24	146	4582	286	['CHL1', 'EPHB4', 'RGMB', 'CDSN', 'SPP1', 'ACHE', 'SIGLEC9', 'ADAM9', 'AZGP1', 'CDHR1', 'SRC', 'MCAM', 'ADGRG1', 'CDHR5', 'SIRPA', 'ISLR', 'ACTN2', 'ITGA2', 'FLG2', 'ITGA5', 'ITGA9', 'ITGAM', 'ITGAV', 'ITGB1', 'ITGB2', 'ITGB3', 'ITGB7', 'PCDH17', 'CNTN6', 'CEACAM1', 'TNXB', 'CCN5', 'FREM2', 'ITGBL1', 'FAT1', 'TINAG', 'PXDN', 'PTPRF', 'PTPRK', 'MADCAM1', 'SPON2', 'SPON1', 'SIGLEC14', 'PCDH19', 'PCDH15', 'CCL2', 'ADAM17', 'ALCAM', 'GPNMB', 'NME2', 'FERMT2', 'PCDH10', 'PCDH18', 'CXCL12', 'VCAM1', 'VCL', 'RAC1', 'CCN3', 'CDON', 'GP1BA', 'AMBN', 'SELL', 'SELP', 'SELPLG', 'COL5A1', 'SEMA4D', 'DDR1', 'NID2', 'CHST10', 'ITGA11', 'VTN', 'VWF', 'COL16A1', 'DSC2', 'DSC3', 'PNN', 'PCDHGB7', 'DSG2', 'CD177', 'PCDHGA10', 'TNC', 'ANXA2', 'ICAM1', 'ICAM2', 'ICAM3', 'DDR2', 'PCDHB15', 'PCDHB14', 'SLURP1', 'TOR1A', 'PCDHAC2', 'LAMA5', 'LAMB1', 'LAMC1', 'SEMA5A', 'CLSTN1', 'EMILIN1', 'PCDH20', 'OPCML', 'PCDHB16', 'LGALS4', 'ARF6', 'TGFB1I1', 'MMRN1', 'LY6D', 'POSTN', 'EFNB1', 'EFNB2', 'SIGLEC7', 'CD9', 'IGFBP7', 'CCN1', 'PCDHGA12', 'PLXNC1', 'CD226', 'ICAM5', 'CD33', 'SIGLEC6', 'CD36', 'VCAN', 'AOC3', 'CD44', 'ROBO1', 'ADGRE5', 'CCN2', 'HABP2', 'CTNNB1', 'BCAM', 'ADGRE1', 'PARD3', 'ATP2A2', 'CDH2', 'CDH3', 'CDH4', 'CDH6', 'PCDH1', 'CDH8', 'HCK', 'PCDHGC3', 'CDH11', 'CD96', 'PCDH7', 'PCDH9', 'CDH15', 'CDH16', 'CDH17']	0.5104895104895105	Biological Process
GO:0007229	integrin-mediated signaling pathway	biological_process	1.3230501420210812e-24	2.6728258969109882e-21	60	4582	78	['COL3A1', 'CUL3', 'PTN', 'PRAM1', 'ITGBL1', 'ITGA11', 'VTN', 'COL16A1', 'ILK', 'THY1', 'FN1', 'LAT', 'SEMA7A', 'CCN1', 'ISG15', 'ADAMTS1', 'ADAM15', 'ADAM9', 'ICAM3', 'SRC', 'CD40LG', 'CD47', 'SYK', 'ITGA8', 'ITGA6', 'LAMA5', 'MPIG6B', 'APOA1', 'ITGA1', 'ITGA2', 'ITGA2B', 'ITGA3', 'ITGA4', 'ADAM11', 'ITGA5', 'ITGA7', 'ITGA9', 'NME2', 'ITGAE', 'FERMT2', 'ITGAL', 'FYB1', 'CDC42', 'ITGAM', 'ITGAV', 'ITGB1', 'ITGB2', 'ITGB3', 'ITGB4', 'ITGB5', 'MADCAM1', 'HCK', 'ITGB7', 'RCC2', 'ZYX', 'PTK2', 'CDH17', 'PLEK', 'FERMT3', 'NRP1']	0.7692307692307693	Biological Process
GO:0006412	translation	biological_process	3.261775852306388e-24	5.491199647357805e-21	73	4582	108	['RPL21', 'RPL22', 'RPL24', 'RPL30', 'RPL27A', 'RPL28', 'HBS1L', 'RPL31', 'IGF2BP3', 'RPL11', 'ABCF1', 'RPL38', 'RARS1', 'SARS1', 'WARS1', 'MRPL12', 'RPS2', 'RPS3A', 'RPS4X', 'RPL18', 'RPS5', 'RPS6', 'PABPC4', 'NACA', 'EIF4EBP2', 'RPS7', 'EIF4G1', 'DHPS', 'RPS8', 'RPS10', 'RPS12', 'RPS13', 'RPS14', 'RPS15', 'RPS15A', 'RPS11', 'FARSB', 'RPS16', 'RPS17', 'RPS18', 'DARS1', 'RPS19', 'RPSA', 'RPS20', 'RPS21', 'RPS23', 'RPL14', 'RPS25', 'RPS26', 'RPL35', 'RPS27A', 'RPS28', 'RPS24', 'RRBP1', 'MRPL24', 'RPL3', 'COPS5', 'RPL4', 'RPL5', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPL10', 'GSPT1', 'RPL12', 'RPL13', 'RPL15', 'EEF1A1', 'EEF1A2', 'RPL18A', 'RPL19']	0.6759259259259259	Biological Process
GO:0006457	protein folding	biological_process	8.600463651800996e-24	1.2410469049548838e-20	86	4582	146	['HSP90B1', 'ERP44', 'CCT3', 'HSPH1', 'FKBP9', 'PFDN1', 'PFDN2', 'PFDN4', 'PFDN5', 'HSPBP1', 'UNC45A', 'DNAJC7', 'RUVBL2', 'ST13', 'AHSP', 'QSOX1', 'MESD', 'TXNDC5', 'MOGS', 'CLU', 'P3H1', 'PDIA5', 'FKBP8', 'PPIH', 'DNAJB2', 'DNAJA1', 'PFDN6', 'FKBP1A', 'LTBP4', 'HSPA4', 'FKBP4', 'FKBP5', 'QSOX2', 'HSPB1', 'VBP1', 'TBCA', 'TBCD', 'HSP90AA1', 'HSP90AB1', 'HSPD1', 'HSPE1', 'FKBP10', 'DNAJB1', 'NPPA', 'NPPB', 'TCP1', 'HSPA4L', 'CALR', 'ERO1A', 'CANX', 'BAG5', 'BAG3', 'BAG2', 'DNAJB6', 'APCS', 'TOR1A', 'DNAJB4', 'CCT7', 'CCT4', 'CCT2', 'NUDCD2', 'CHORDC1', 'AHSA1', 'PPIB', 'PPIC', 'PPIA', 'PPID', 'PDIA3', 'PPIF', 'PDIA4', 'CDC37', 'DNAJA3', 'CCT6A', 'ATF6', 'PDIA6', 'TRAP1', 'LMAN1', 'CCT5', 'P4HB', 'CSNK2A1', 'HSPB6', 'CCT8', 'DNAJC5', 'RP2', 'NUDC', 'PTGES3']	0.589041095890411	Biological Process
GO:0098609	cell-cell adhesion	biological_process	1.1899543964775503e-23	1.502466169852467e-20	85	4582	137	['BOC', 'CDSN', 'PECAM1', 'ITGA6', 'CDH23', 'NFASC', 'CDHR5', 'ITGA1', 'ITGA2', 'ITGA2B', 'ITGA3', 'ITGA4', 'DCC', 'ITGA5', 'ITGA7', 'ITGA9', 'ITGAE', 'ITGAL', 'ITGAM', 'ITGAV', 'ITGB1', 'ITGB2', 'TENM2', 'ITGB4', 'ITGB5', 'ITGB7', 'CEACAM1', 'JAM2', 'ITGBL1', 'JUP', 'NEO1', 'F11R', 'VNN1', 'CNTN5', 'CRNN', 'PKP1', 'TJP2', 'DLG1', 'TLN2', 'FLRT3', 'JAM3', 'ADGRL3', 'CNTN1', 'CD200', 'CDON', 'SELP', 'ITGA11', 'DSC1', 'DSC2', 'DSC3', 'NRCAM', 'DSG1', 'DSG2', 'DSG3', 'CD177', 'DSP', 'ITGA8', 'ESAM', 'LGALS1', 'CYFIP2', 'IGDCC4', 'CD93', 'LIMS1', 'THY1', 'EGFR', 'TJP1', 'CD33', 'CD34', 'PKP3', 'TLN1', 'LPP', 'DCHS1', 'CSTA', 'KIRREL1', 'ROBO2', 'DSG4', 'CTNNA1', 'SCRIB', 'CTNNB1', 'CTNND1', 'CDH1', 'CDH2', 'CDH5', 'PCDH8', 'CDH16']	0.6204379562043796	Biological Process
GO:0045109	intermediate filament organization	biological_process	1.7864296851813702e-23	2.0049695833352246e-20	54	4582	68	['KRT23', 'VIM', 'KRT1', 'KRT2', 'DES', 'KRT3', 'KRT4', 'KRT5', 'KRT6A', 'KRT6B', 'KRT7', 'KRT9', 'KRT10', 'KRT12', 'KRT13', 'KRT14', 'KRT76', 'KRT78', 'EPPK1', 'KRT15', 'KRT16', 'INA', 'KRT75', 'KRT17', 'KRT71', 'KRT6C', 'DSP', 'KRT19', 'KRT31', 'KRT32', 'KRT33A', 'KRT33B', 'KRT34', 'KRT35', 'KRT81', 'KRT82', 'KRT83', 'KRT84', 'KRT85', 'KRT86', 'KRT77', 'KRT27', 'KRT74', 'KRT40', 'DNAJB6', 'AGFG1', 'KRT20', 'NEFL', 'KRT39', 'KRT79', 'GFAP', 'KRT38', 'KRT36', 'KRT80']	0.7941176470588235	Biological Process
GO:0007160	cell-matrix adhesion	biological_process	1.0216683549832921e-22	1.0319872053686233e-19	61	4582	86	['COL3A1', 'OTOA', 'FREM2', 'NID2', 'ITGBL1', 'LYVE1', 'ITGA11', 'LIMS1', 'FBLN5', 'VTN', 'ILK', 'COL17A1', 'FN1', 'ADAM15', 'ADAM9', 'CD34', 'ECM2', 'TNN', 'L1CAM', 'PKD1', 'ANGPTL3', 'FGA', 'ITGA8', 'FGB', 'ITGA6', 'SGCE', 'PLAUR', 'ITGA1', 'ITGA2', 'FGG', 'ITGA2B', 'ITGA4', 'ITGA3', 'ITGA5', 'ITGA7', 'ITGA9', 'BCAM', 'ITGAE', 'FERMT2', 'ITGAL', 'ITGAM', 'ITGAV', 'HPSE', 'ITGB1', 'ITGB2', 'ITGB3', 'ITGB4', 'RSU1', 'EMILIN1', 'ITGB5', 'ITGB7', 'ZYX', 'CD96', 'MADCAM1', 'VCAM1', 'FREM1', 'RAC1', 'MSLN', 'VCL', 'FERMT3', 'NPNT']	0.7093023255813954	Biological Process
