biosequence_name	biosequence_accession	biosequence_gene_name	is_covering	pct_coverage	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	n_distinct_synpeptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
P02768	P02768	ALB	C	96.22	canonical	  0.999	  0.000	21412852	76960.5	1983									P02768	1337	148				coreProteome GENCODE_v48 SP sp|P02768|ALBU_HUMAN Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2 \VariantSimple=(23|C)(23|H)(24|L)(24|P)(24|Q)(25|V)(27|Q)(27|Y)(73|Y)(84|K)(87|N)(90|P)(106|K)(121|G)(138|G)(143|K)(146|E)(152|R)(201|F)(215|T)(215|V)(220|L)	Homo sapiens
P00738	P00738	HP	C	99.75	canonical	  0.999	  0.000	4272843	25827.9	882									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P00738|HPT_HUMAN Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1 \(29|87|-)(129|D)(130|K)(247|T)(397|H)	Homo sapiens
P02647	P02647	APOA1	C	100	canonical	  0.999	  0.000	3370478	24900.8	677									P02647	1314	37				coreProteome GENCODE_v48 SP sp|P02647|APOA1_HUMAN Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1 \(23|267|-)(27|H)(27|R)(28|R)(34|L)(50|R)(56|267|-)(61|T)(84|R)(92|I)(108|267|-)(113|E)(119|D)(126|H)(127|N)(131|M)(131|131|-)(132|R)(134|K)(16	Homo sapiens
P02790	P02790	HPX	C	99.78	canonical	  0.999	  0.000	4137264	23921.1	978									P02790	1342	73				coreProteome GENCODE_v48 SP sp|P02790|HEMO_HUMAN Hemopexin OS=Homo sapiens OX=9606 GN=HPX PE=1 SV=2 \VariantSimple=(52|N)(83|W)	Homo sapiens
P01009	P01009	SERPINA1	C	96.65	canonical	  0.999	  0.000	4227806	22489.0	1164									P01009	1277	289				coreProteome GENCODE_v48 SP sp|P01009|A1AT_HUMAN Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3 \VariantSimple=(4|L)(26|A)(37|A)(58|T)(63|C)(65|P)(69|F)(75|75|-)(77|F)(84|T)(91|E)(92|I)(109|M)(112|T)(116|N)(125|H)(139|S)(172|R)(172|W)(1	Homo sapiens
P02766	P02766	TTR	C	98.64	canonical	  0.999	  0.000	908436	20134.4	385									P02766	1336	14				coreProteome GENCODE_v48 SP sp|P02766|TTHY_HUMAN Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1 \VariantSimple=(26|S)(30|R)(32|P)(33|I)(38|E)(38|G)(40|I)(43|N)(44|S)(48|M)(50|A)(50|G)(50|L)(50|M)(53|C)(53|I)(53|L)(53|V)(54|T)(55|N)(56|P)(58|A)(58|	Homo sapiens
P02652	P02652	APOA2	C	96	canonical	  0.999	  0.000	608831	16192.8	184									P02652	1316	6				coreProteome GENCODE_v48 SP sp|P02652|APOA2_HUMAN Apolipoprotein A-II OS=Homo sapiens OX=9606 GN=APOA2 PE=1 SV=1 	Homo sapiens
P02787	P02787	TF	C	97.99	canonical	  0.999	  0.000	5109030	16176.5	1417									P02787	1341	166				coreProteome GENCODE_v48 SP sp|P02787|TRFE_HUMAN Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=5 \VariantSimple=(42|L)(55|R)(76|V)(77|N)(142|S)(277|S)(296|G)(319|R)(377|C)(448|V)(477|P)(562|V)(589|S)(645|P)(646|E)(671|E)	Homo sapiens
P02675	P02675	FGB	C	96.74	canonical	  0.999	  0.000	3523808	15620.2	1378									P02675	1321	109				coreProteome GENCODE_v48 SP sp|P02675|FIBB_HUMAN Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2 \VariantSimple=(2|E)(39|102|-)(44|C)(45|R)(74|C)(95|R)(98|T)(100|S)(170|H)(196|C)(202|Q)(265|L)(365|T)(383|R)(407|K)(430|D)(478|K)	Homo sapiens
P02763	P02763	ORM1	C	100	canonical	  0.999	  0.000	1267392	15321.9	327									P02763	1334	20				coreProteome GENCODE_v48 SP sp|P02763|A1AG1_HUMAN Alpha-1-acid glycoprotein 1 OS=Homo sapiens OX=9606 GN=ORM1 PE=1 SV=2 \VariantSimple=(38|Q)(167|C)(174|M)	Homo sapiens
P01011	P01011	SERPINA3	C	100	canonical	  0.999	  0.000	2284537	14466.9	888									P01009	1277	289				coreProteome GENCODE_v48 SP sp|P01011|AACT_HUMAN Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2 \VariantSimple=(9|T)(78|P)(167|G)(252|A)(267|R)(401|V)(407|G)	Homo sapiens
P02765	P02765	AHSG	C	100	canonical	  0.999	  0.000	1549444	13736.6	739									P02765	1335	109				coreProteome GENCODE_v48 SP sp|P02765|FETUA_HUMAN Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2 \VariantSimple=(142|L)(248|T)(256|T)(276|N)(317|C)(317|H)	Homo sapiens
P01023	P01023	A2M	C	99.39	canonical	  0.999	  0.000	7930998	13697.2	2831									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3 \VariantSimple=(639|D)(704|H)(815|Q)(972|Y)(1000|V)	Homo sapiens
P02679	P02679	FGG	C	96.47	canonical	  0.999	  0.000	2742109	13505.7	994									P02679	1322	22				coreProteome GENCODE_v48 SP sp|P02679|FIBG_HUMAN Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3 \VariantSimple=(77|G)(140|H)(191|R)(301|C)(301|H)(303|P)(318|V)(327|H)(334|I)(334|K)(335|D)(336|T)(345|346|-)(345|D)(355|R)(356|V)(356|Y)(363|	Homo sapiens
P02671	P02671	FGA	C	100	canonical	  0.999	  0.000	3521134	12006.4	2371									P02671	1320	24				coreProteome GENCODE_v48 SP sp|P02671|FIBA_HUMAN Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2 \VariantSimple=(6|V)(26|N)(31|V)(35|C)(35|H)(37|L)(38|G)(38|N)(38|S)(39|D)(55|R)(66|T)(129|P)(160|S)(184|W)(331|A)(446|E)(453|N)(456|A)(545|V)	Homo sapiens
P69905	P69905	HBA1	C	100	canonical	  0.999	  0.000	722218	12005.3	599									P69905	2708	105				coreProteome GENCODE_v48 SP sp|P69905|HBA_HUMAN Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2 \VariantSimple=(2|E)(3|R)(6|D)(6|P)(7|A)(7|G)(7|N)(7|V)(7|Y)(8|E)(10|T)(12|E)(13|D)(14|P)(15|R)(16|R)(17|M)(17|N)(19|D)(19|R)(20|D)(20|E)(21	Homo sapiens
P00739	P00739	HPR	C	100	canonical	  0.999	  0.000	1881005	11911.5	546									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P00739|HPTR_HUMAN Haptoglobin-related protein OS=Homo sapiens OX=9606 GN=HPR PE=1 SV=2 \VariantSimple=(27|M)(42|H)(58|K)(156|V)(203|K)(283|A)(339|D)	Homo sapiens
P00450	P00450	CP	C	99.44	canonical	  0.999	  0.000	4397007	11465.2	2216									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P00450|CERU_HUMAN Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=2 \VariantSimple=(63|T)(367|C)(477|L)(544|D)(551|I)(793|H)(841|R)	Homo sapiens
P02774	P02774	GC	C	95.78	canonical	  0.999	  0.000	2409958	11445.8	1011									P02774	1338	42				coreProteome GENCODE_v48 SP sp|P02774|VTDB_HUMAN Vitamin D-binding protein OS=Homo sapiens OX=9606 GN=GC PE=1 SV=2 \VariantSimple=(432|E)(436|K)(445|C)(445|R)	Homo sapiens
P01024	P01024	C3	C	98.62	canonical	  0.999	  0.000	8289147	11364.1	2699									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P01024|CO3_HUMAN Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2 \VariantSimple=(102|G)(155|Q)(314|L)(469|D)(549|N)(592|Q)(592|W)(603|V)(735|W)(863|K)(1042|L)(1094|V)(1115|N)(1158|W)(1161|K)(1224|D)(1367|T)(1464|D)(152	Homo sapiens
P19652	P19652	ORM2	C	100	canonical	  0.999	  0.000	795658	9618.97	293									P02763	1334	20				coreProteome GENCODE_v48 SP sp|P19652|A1AG2_HUMAN Alpha-1-acid glycoprotein 2 OS=Homo sapiens OX=9606 GN=ORM2 PE=1 SV=2 \VariantSimple=(38|Q)(99|A)(141|R)(167|R)(174|V)	Homo sapiens
P04217	P04217	A1BG	C	99.8	canonical	  0.999	  0.000	1423080	9462.25	730									P04217	1374	14				coreProteome GENCODE_v48 SP sp|P04217|A1BG_HUMAN Alpha-1B-glycoprotein OS=Homo sapiens OX=9606 GN=A1BG PE=1 SV=4 \VariantSimple=(52|R)(395|R)	Homo sapiens
P02749	P02749	APOH	C	100	canonical	  0.999	  0.000	1162831	9096.25	635									P02749	1329	14				coreProteome GENCODE_v48 SP sp|P02749|APOH_HUMAN Beta-2-glycoprotein 1 OS=Homo sapiens OX=9606 GN=APOH PE=1 SV=3 \VariantSimple=(5|A)(107|N)(154|H)(266|L)(325|G)(335|S)	Homo sapiens
